,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,lower_title,_merge
0,101 Dalmatians,tt0115433,movie,101 Dalmatians,101 Dalmatians,0,1996,\N,103,"Adventure,Comedy,Crime",101 dalmatians,both
5,102 Dalmatians,tt0211181,movie,102 Dalmatians,102 Dalmatians,0,2000,\N,100,"Adventure,Comedy,Family",102 dalmatians,both
10,"20,000 Leagues Under the Sea",tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1954,\N,127,"Adventure,Drama,Family",20000 leagues under the sea,both
24,A Bug's Life,tt0120623,movie,A Bug's Life,A Bug's Life,0,1998,\N,95,"Adventure,Animation,Comedy",a bugs life,both
74,A Christmas Carol,tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,\N,96,"Adventure,Animation,Comedy",a christmas carol,both
126,A Far Off Place,tt0106868,movie,A Far Off Place,A Far Off Place,0,1993,\N,100,"Adventure,Drama,Family",a far off place,both
127,A Goofy Movie,tt0113198,movie,A Goofy Movie,A Goofy Movie,0,1995,\N,78,"Adventure,Animation,Comedy",a goofy movie,both
135,A Kid In King Arthur's Court,tt0113538,movie,A Kid in King Arthur's Court,A Kid in King Arthur's Court,0,1995,\N,89,"Adventure,Comedy,Family",a kid in king arthurs court,both
143,A Tiger Walks,tt0058657,movie,A Tiger Walks,A Tiger Walks,0,1964,\N,91,"Drama,Family",a tiger walks,both
147,A Wrinkle in Time,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,\N,109,"Adventure,Family,Fantasy",a wrinkle in time,both
158,Adventures in Babysitting,tt0092513,movie,Adventures in Babysitting,Adventures in Babysitting,0,1987,\N,102,"Adventure,Comedy,Crime",adventures in babysitting,both
187,African Cats,tt1223236,movie,African Cats,African Cats,0,2011,\N,89,"Adventure,Documentary",african cats,both
190,Aladdin,tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy",aladdin,both
244,Aladdin,tt6139732,movie,Aladdin,Aladdin,0,2019,\N,128,"Adventure,Comedy,Family",aladdin,both
258,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,2014,\N,81,"Comedy,Drama,Family",alexander and the terrible horrible no good very bad day,both
268,Alice in Wonderland,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy",alice in wonderland,both
291,Alice in Wonderland,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy",alice in wonderland,both
344,Alice Through the Looking Glass,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",alice through the looking glass,both
356,Aliens of the Deep,tt0417415,movie,Aliens of the Deep,Aliens of the Deep,0,2005,\N,100,"Documentary,Family",aliens of the deep,both
358,Almost Angels,tt0055740,movie,Almost Angels,Almost Angels,0,1962,\N,93,"Comedy,Family,Music",almost angels,both
360,America's Heart and Soul,tt0381006,movie,America's Heart & Soul,America's Heart & Soul,0,2004,\N,84,Documentary,americas heart  soul,both
361,Amy,tt0082017,movie,Amy,Amy,0,1981,\N,100,"Drama,Family",amy,both
429,Angels in the Outfield,tt0043286,movie,Angels in the Outfield,Angels in the Outfield,0,1951,\N,99,"Comedy,Family,Fantasy",angels in the outfield,both
430,Angels in the Outfield,tt0109127,movie,Angels in the Outfield,Angels in the Outfield,0,1994,\N,102,"Comedy,Family,Fantasy",angels in the outfield,both
433,Ant-Man,tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy",antman,both
456,Ant-Man and the Wasp,tt5095030,movie,Ant-Man and the Wasp,Ant-Man and the Wasp,0,2018,\N,118,"Action,Adventure,Comedy",antman and the wasp,both
473,Around the World in 80 Days,tt0327437,movie,Around the World in 80 Days,Around the World in 80 Days,0,2004,\N,120,"Action,Adventure,Comedy",around the world in 80 days,both
491,Artemis Fowl,tt3089630,movie,Artemis Fowl,Artemis Fowl,0,2020,\N,95,"Adventure,Family,Fantasy",artemis fowl,both
495,Atlantis: The Lost Empire,tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,"Action,Adventure,Animation",atlantis the lost empire,both
527,Avengers: Endgame,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,\N,181,"Action,Adventure,Drama",avengers endgame,both
538,Avengers: Infinity War,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,\N,149,"Action,Adventure,Sci-Fi",avengers infinity war,both
561,Babes in Toyland,tt0054649,movie,Babes in Toyland,Babes in Toyland,0,1961,\N,106,"Comedy,Family,Fantasy",babes in toyland,both
563,Babes in Toyland,tt0168473,movie,Babes in Toyland,Babes in Toyland,0,1997,\N,74,"Animation,Comedy,Family",babes in toyland,both
579,Bambi,tt0034492,movie,Bambi,Bambi,0,1942,\N,70,"Adventure,Animation,Drama",bambi,both
619,Bears,tt2458776,movie,Bears,Bears,0,2014,\N,78,"Documentary,Family",bears,both
644,Beauty and the Beast,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy",beauty and the beast,both
723,Beauty and the Beast,tt2771200,movie,Beauty and the Beast,Beauty and the Beast,0,2017,\N,129,"Adventure,Family,Fantasy",beauty and the beast,both
776,Bedknobs and Broomsticks,tt0066817,movie,Bedknobs and Broomsticks,Bedknobs and Broomsticks,0,1971,\N,117,"Adventure,Animation,Comedy",bedknobs and broomsticks,both
830,Benji The Hunted,tt0092638,movie,Benji the Hunted,Benji the Hunted,0,1987,\N,88,"Adventure,Family",benji the hunted,both
831,Beverly Hills Chihuahua,tt1014775,movie,Beverly Hills Chihuahua,Beverly Hills Chihuahua,0,2008,\N,91,"Adventure,Comedy,Drama",beverly hills chihuahua,both
843,Big Hero 6,tt2245084,movie,Big Hero 6,Big Hero 6,0,2014,\N,102,"Action,Adventure,Animation",big hero 6,both
854,Big Red,tt0055793,movie,Big Red,Big Red,0,1962,\N,89,"Adventure,Drama,Family",big red,both
881,Black Panther,tt1825683,movie,Black Panther,Black Panther,0,2018,\N,134,"Action,Adventure,Sci-Fi",black panther,both
957,Black Widow,tt3480822,movie,Black Widow,Black Widow,0,2021,\N,134,"Action,Adventure,Sci-Fi",black widow,both
985,Blackbeard's Ghost,tt0062737,movie,Blackbeard's Ghost,Blackbeard's Ghost,0,1968,\N,106,"Comedy,Family,Fantasy",blackbeards ghost,both
987,Blank Check,tt0109287,movie,Blank Check,Blank Check,0,1994,\N,93,"Comedy,Crime,Family",blank check,both
994,Bolt,tt0397892,movie,Bolt,Bolt,0,2008,\N,96,"Adventure,Animation,Comedy",bolt,both
1010,Bon Voyage!,tt0055807,movie,Bon Voyage!,Bon Voyage!,0,1962,\N,130,"Adventure,Comedy,Drama",bon voyage,both
1092,Brave,tt1217209,movie,Brave,Brave,0,2012,\N,93,"Adventure,Animation,Comedy",brave,both
1124,Bridge to Terabithia,tt0398808,movie,Bridge to Terabithia,Bridge to Terabithia,0,2007,\N,96,"Drama,Family,Fantasy",bridge to terabithia,both
1130,Brother Bear,tt0328880,movie,Brother Bear,Brother Bear,0,2003,\N,85,"Adventure,Animation,Comedy",brother bear,both
1143,Candleshoe,tt0075807,movie,Candleshoe,Candleshoe,0,1977,\N,101,"Adventure,Comedy,Drama",candleshoe,both
1148,Captain America: Civil War,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,\N,147,"Action,Adventure,Sci-Fi",captain america civil war,both
1176,Captain Marvel,tt4154664,movie,Captain Marvel,Captain Marvel,0,2019,\N,123,"Action,Adventure,Sci-Fi",captain marvel,both
1188,Cars,tt0317219,movie,Cars,Cars,0,2006,\N,117,"Adventure,Animation,Comedy",cars,both
1233,Cars 2,tt1216475,movie,Cars 2,Cars 2,0,2011,\N,106,"Adventure,Animation,Comedy",cars 2,both
1249,Cars 3,tt3606752,movie,Cars 3,Cars 3,0,2017,\N,102,"Adventure,Animation,Comedy",cars 3,both
1256,Charley and the Angel,tt0069866,movie,Charley and the Angel,Charley and the Angel,0,1973,\N,93,"Comedy,Family,Fantasy",charley and the angel,both
1258,Charlie The Lonesome Cougar,tt0062793,movie,"Charlie, the Lonesome Cougar","Charlie, the Lonesome Cougar",0,1967,\N,75,"Adventure,Family",charlie the lonesome cougar,both
1259,Cheetah,tt0097053,movie,Cheetah,Cheetah,0,1989,\N,83,"Adventure,Drama,Family",cheetah,both
1276,Chicken Little,tt0371606,movie,Chicken Little,Chicken Little,0,2005,\N,81,"Adventure,Animation,Comedy",chicken little,both
1294,Chimpanzee,tt1222815,movie,Chimpanzee,Chimpanzee,0,2012,\N,78,"Documentary,Family",chimpanzee,both
1307,Christopher Robin,tt4575576,movie,Christopher Robin,Christopher Robin,0,2018,\N,104,"Adventure,Animation,Comedy",christopher robin,both
1314,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005,\N,143,"Adventure,Family,Fantasy",the chronicles of narnia the lion the witch and the wardrobe,both
1323,Cinderella,tt0042332,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy",cinderella,both
1392,Cinderella,tt1661199,movie,Cinderella,Cinderella,0,2015,\N,105,"Adventure,Drama,Family",cinderella,both
1481,Coco,tt2380307,movie,Coco,Coco,0,2017,\N,105,"Adventure,Animation,Comedy",coco,both
1508,College Road Trip,tt0997047,movie,College Road Trip,College Road Trip,0,2008,\N,83,"Adventure,Comedy,Drama",college road trip,both
1511,Condorman,tt0082199,movie,Condorman,Condorman,0,1981,\N,90,"Action,Adventure,Comedy",condorman,both
1514,Confessions of a Teenage Drama Queen,tt0361467,movie,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,0,2004,\N,89,"Comedy,Family,Music",confessions of a teenage drama queen,both
1515,Cool Runnings,tt0106611,movie,Cool Runnings,Cool Runnings,0,1993,\N,98,"Adventure,Comedy,Family",cool runnings,both
1530,Cruella,tt3228774,movie,Cruella,Cruella,0,2021,\N,134,"Adventure,Comedy,Crime",cruella,both
1531,D2: The Mighty Ducks,tt0109520,movie,D2: The Mighty Ducks,D2: The Mighty Ducks,0,1994,\N,106,"Comedy,Drama,Family",d2 the mighty ducks,both
1533,D3: The Mighty Ducks,tt0116000,movie,D3: The Mighty Ducks,D3: The Mighty Ducks,0,1996,\N,104,"Action,Comedy,Drama",d3 the mighty ducks,both
1536,Darby O'Gill and the Little People,tt0052722,movie,Darby O'Gill and the Little People,Darby O'Gill and the Little People,0,1959,\N,93,"Adventure,Family,Fantasy",darby ogill and the little people,both
1538,Davy Crockett and the River Pirates,tt0049125,movie,Davy Crockett and the River Pirates,Davy Crockett and the River Pirates,0,1956,\N,81,"Adventure,Comedy,Drama",davy crockett and the river pirates,both
1541,Davy Crockett: King of the Wild Frontier,tt0047977,movie,Davy Crockett: King of the Wild Frontier,Davy Crockett: King of the Wild Frontier,0,1955,\N,93,"Adventure,Drama,Family",davy crockett king of the wild frontier,both
1544,Dinosaur,tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,"Adventure,Animation,Drama",dinosaur,both
1605,Do Dooni Chaar,tt1714832,movie,Do Dooni Chaar,Do Dooni Chaar,0,2010,\N,112,"Comedy,Crime,Drama",do dooni chaar,both
1607,Doctor Strange in the Multiverse of Madness,tt9419884,movie,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,0,2022,\N,\N,"Action,Adventure,Fantasy",doctor strange in the multiverse of madness,both
1609,Dr. Seuss' Horton Hears a Who,tt0451079,movie,Horton Hears a Who!,Horton Hears a Who!,0,2008,\N,86,"Adventure,Animation,Comedy",horton hears a who,both
1610,DuckTales: The Movie - Treasure of the Lost Lamp,tt0099472,movie,DuckTales the Movie: Treasure of the Lost Lamp,DuckTales the Movie: Treasure of the Lost Lamp,0,1990,\N,74,"Adventure,Animation,Comedy",ducktales the movie treasure of the lost lamp,both
1611,Dumbo,tt0033563,movie,Dumbo,Dumbo,0,1941,\N,64,"Adventure,Animation,Drama",dumbo,both
1618,Dumbo,tt3861390,movie,Dumbo,Dumbo,0,2019,\N,112,"Adventure,Family,Fantasy",dumbo,both
1631,Earth,tt0393597,movie,Earth,Earth,0,2007,\N,90,Documentary,earth,both
1677,Eight Below,tt0397313,movie,Eight Below,Eight Below,0,2006,\N,120,"Adventure,Drama,Family",eight below,both
1684,Emil and the Detectives,tt0058056,movie,Emil and the Detectives,Emil and the Detectives,0,1964,\N,99,"Comedy,Crime,Drama",emil and the detectives,both
1693,Encanto,tt2953050,movie,Encanto,Encanto,0,2021,\N,102,"Animation,Comedy,Family",encanto,both
1700,Enchanted,tt0461770,movie,Enchanted,Enchanted,0,2007,\N,107,"Adventure,Animation,Comedy",enchanted,both
1714,Endurance,tt0120659,movie,Endurance,Endurance,0,1998,\N,83,"Biography,Drama,Sport",endurance,both
1759,Epic,tt0848537,movie,Epic,Epic,0,2013,\N,102,"Action,Adventure,Animation",epic,both
1779,Escape To Witch Mountain,tt0072951,movie,Escape to Witch Mountain,Escape to Witch Mountain,0,1975,\N,97,"Adventure,Family,Fantasy",escape to witch mountain,both
1785,Fantasia,tt0032455,movie,Fantasia,Fantasia,0,1940,\N,125,"Animation,Family,Fantasy",fantasia,both
1821,Fantasia 2000,tt0120910,movie,Fantasia 2000,Fantasia 2000,0,1999,\N,75,"Animation,Family,Fantasy",fantasia 2000,both
1830,Ferdinand,tt3411444,movie,Ferdinand,Ferdinand,0,2017,\N,108,"Adventure,Animation,Comedy",ferdinand,both
1841,Finding Dory,tt2277860,movie,Finding Dory,Finding Dory,0,2016,\N,97,"Adventure,Animation,Comedy",finding dory,both
1856,Finding Nemo,tt0266543,movie,Finding Nemo,Finding Nemo,0,2003,\N,100,"Adventure,Animation,Comedy",finding nemo,both
1869,First Kid,tt0116311,movie,First Kid,First Kid,0,1996,\N,101,"Comedy,Family",first kid,both
1870,Flight of the Navigator,tt0091059,movie,Flight of the Navigator,Flight of the Navigator,0,1986,\N,90,"Adventure,Comedy,Family",flight of the navigator,both
1875,Flubber,tt0119137,movie,Flubber,Flubber,0,1997,\N,93,"Comedy,Family,Sci-Fi",flubber,both
1877,"Follow Me, Boys!",tt0060420,movie,"Follow Me, Boys!","Follow Me, Boys!",0,1966,\N,131,"Drama,Family",follow me boys,both
1878,Frank and Ollie,tt0113104,movie,Frank and Ollie,Frank and Ollie,0,1995,\N,89,Documentary,frank and ollie,both
1880,Frankenweenie,tt1142977,movie,Frankenweenie,Frankenweenie,0,2012,\N,87,"Animation,Comedy,Drama",frankenweenie,both
1891,Freaky Friday,tt0076054,movie,Freaky Friday,Freaky Friday,0,1976,\N,95,"Comedy,Family,Fantasy",freaky friday,both
1893,Freaky Friday,tt0322330,movie,Freaky Friday,Freaky Friday,0,2003,\N,97,"Comedy,Family,Fantasy",freaky friday,both
1991,Fun and Fancy Free,tt0039404,movie,Fun and Fancy Free,Fun & Fancy Free,0,1947,\N,73,"Adventure,Animation,Comedy",fun and fancy free,both
1996,George of the Jungle,tt0119190,movie,George of the Jungle,George of the Jungle,0,1997,\N,92,"Action,Adventure,Comedy",george of the jungle,both
2023,G-Force,tt0436339,movie,G-Force,G-Force,0,2009,\N,88,"Action,Adventure,Animation",gforce,both
2031,Ghosts of the Abyss,tt0297144,movie,Ghosts of the Abyss,Ghosts of the Abyss,0,2003,\N,61,"Documentary,Family",ghosts of the abyss,both
2032,Glory Road,tt0385726,movie,Glory Road,Glory Road,0,2006,\N,118,"Biography,Drama,Sport",glory road,both
2036,Greyfriars Bobby: The True Story of a Dog,tt0054944,movie,Greyfriars Bobby: The True Story of a Dog,Greyfriars Bobby: The True Story of a Dog,0,1961,\N,91,"Drama,Family",greyfriars bobby the true story of a dog,both
2040,Guardians of the Galaxy Vol. 2,tt3896198,movie,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,0,2017,\N,136,"Action,Adventure,Comedy",guardians of the galaxy vol 2,both
2057,Gus,tt0074599,movie,Gus,Gus,0,1976,\N,96,"Comedy,Family,Sport",gus,both
2080,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,tt1127884,movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,0,2008,\N,74,"Documentary,Music",hannah montana and miley cyrus best of both worlds concert,both
2082,Hannah Montana: The Movie,tt1114677,movie,Hannah Montana: The Movie,Hannah Montana: The Movie,0,2009,\N,102,"Comedy,Drama,Family",hannah montana the movie,both
2090,Heavyweights,tt0110006,movie,Heavyweights,Heavyweights,0,1995,\N,100,"Comedy,Drama,Family",heavyweights,both
2132,Herbie Goes Bananas,tt0080861,movie,Herbie Goes Bananas,Herbie Goes Bananas,0,1980,\N,100,"Adventure,Comedy,Family",herbie goes bananas,both
2134,Herbie Goes To Monte Carlo,tt0076137,movie,Herbie Goes to Monte Carlo,Herbie Goes to Monte Carlo,0,1977,\N,105,"Action,Adventure,Comedy",herbie goes to monte carlo,both
2135,Herbie Rides Again,tt0071607,movie,Herbie Rides Again,Herbie Rides Again,0,1974,\N,88,"Comedy,Family,Fantasy",herbie rides again,both
2136,Herbie: Fully Loaded,tt0400497,movie,Herbie Fully Loaded,Herbie Fully Loaded,0,2005,\N,101,"Adventure,Comedy,Family",herbie fully loaded,both
2141,Hercules,tt0119282,movie,Hercules,Hercules,0,1997,\N,93,"Adventure,Animation,Comedy",hercules,both
2202,High School Musical 3: Senior Year,tt0962726,movie,High School Musical 3: Senior Year,High School Musical 3: Senior Year,0,2008,\N,112,"Comedy,Drama,Family",high school musical 3 senior year,both
2204,High School Musical: China,tt1556143,movie,Disney High School Musical: China,Ge wu qing chun,0,2010,\N,94,"Musical,Romance",disney high school musical china,both
2206,Hocus Pocus,tt0107120,movie,Hocus Pocus,Hocus Pocus,0,1993,\N,96,"Comedy,Family,Fantasy",hocus pocus,both
2244,Holes,tt0311289,movie,Holes,Holes,0,2003,\N,117,"Adventure,Comedy,Drama",holes,both
2250,Holes,tt15507514,movie,Holes,Holes,0,2021,\N,79,Documentary,holes,both
2267,Home on the Range,tt0299172,movie,Home on the Range,Home on the Range,0,2004,\N,76,"Adventure,Animation,Comedy",home on the range,both
2300,Homeward Bound II: Lost in San Francisco,tt0116552,movie,Homeward Bound II: Lost in San Francisco,Homeward Bound II: Lost in San Francisco,0,1996,\N,88,"Adventure,Comedy,Family",homeward bound ii lost in san francisco,both
2301,Homeward Bound: The Incredible Journey,tt0107131,movie,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey,0,1993,\N,84,"Adventure,Comedy,Drama",homeward bound the incredible journey,both
2302,"Honey, I Blew Up The Kid",tt0104437,movie,"Honey, I Blew Up the Kid","Honey, I Blew Up the Kid",0,1992,\N,89,"Adventure,Comedy,Family",honey i blew up the kid,both
2305,"Honey, I Shrunk The Kids",tt0097523,movie,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids",0,1989,\N,93,"Adventure,Comedy,Family",honey i shrunk the kids,both
2314,Hot Lead And Cold Feet,tt0077698,movie,Hot Lead and Cold Feet,Hot Lead and Cold Feet,0,1978,\N,90,"Comedy,Western",hot lead and cold feet,both
2317,Ice Age,tt0268380,movie,Ice Age,Ice Age,0,2002,\N,81,"Adventure,Animation,Comedy",ice age,both
2352,Ice Princess,tt0396652,movie,Ice Princess,Ice Princess,0,2005,\N,98,"Comedy,Drama,Family",ice princess,both
2358,I'll Be Home for Christmas,tt0155753,movie,I'll Be Home for Christmas,I'll Be Home for Christmas,0,1998,\N,86,"Comedy,Family",ill be home for christmas,both
2381,In Search Of The Castaways,tt0056095,movie,In Search of the Castaways,In Search of the Castaways,0,1962,\N,98,"Adventure,Family,Fantasy",in search of the castaways,both
2390,Incredibles 2,tt3606756,movie,Incredibles 2,Incredibles 2,0,2018,\N,118,"Action,Adventure,Animation",incredibles 2,both
2479,Inside Out,tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy",inside out,both
2532,Inspector Gadget,tt0141369,movie,Inspector Gadget,Inspector Gadget,0,1999,\N,78,"Action,Adventure,Comedy",inspector gadget,both
2535,Inspector Gadget,tt11069282,movie,Inspector Gadget,Inspector Gadget,0,2026,\N,\N,"Action,Adventure,Comedy",inspector gadget,both
2593,Into the Woods,tt2180411,movie,Into the Woods,Into the Woods,0,2014,\N,125,"Adventure,Comedy,Drama",into the woods,both
2654,Invincible,tt0445990,movie,Invincible,Invincible,0,2006,\N,105,"Biography,Drama,Sport",invincible,both
2688,Iron Will,tt0110157,movie,Iron Will,Iron Will,0,1994,\N,108,"Adventure,Family",iron will,both
2697,James and the Giant Peach,tt0116683,movie,James and the Giant Peach,James and the Giant Peach,0,1996,\N,79,"Adventure,Animation,Family",james and the giant peach,both
2701,John Carter,tt0401729,movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi",john carter,both
2715,Johnny Tremain,tt0050567,movie,Johnny Tremain,Johnny Tremain,0,1957,\N,80,"Adventure,Family,History",johnny tremain,both
2716,Jonas Brothers: The Concert Experience,tt1229827,movie,Jonas Brothers: The 3D Concert Experience,Jonas Brothers: The 3D Concert Experience,0,2009,\N,76,"Documentary,Music",jonas brothers the 3d concert experience,both
2724,Jungle 2 Jungle,tt0119432,movie,Jungle 2 Jungle,Jungle 2 Jungle,0,1997,\N,105,"Comedy,Family",jungle 2 jungle,both
2726,Jungle Cat,tt0053977,movie,Jungle Cat,Jungle Cat,0,1960,\N,69,"Documentary,Family",jungle cat,both
2728,Jungle Cruise,tt0870154,movie,Jungle Cruise,Jungle Cruise,0,2021,\N,127,"Action,Adventure,Comedy",jungle cruise,both
2745,Kidnapped,tt0053994,movie,Kidnapped,Kidnapped,0,1959,\N,97,"Action,Adventure,Drama",kidnapped,both
2932,King Of The Grizzlies,tt0065943,movie,King of the Grizzlies,King of the Grizzlies,0,1970,\N,93,"Family,Western",king of the grizzlies,both
2933,Lady and the Tramp,tt0048280,movie,Lady and the Tramp,Lady and the Tramp,0,1955,\N,76,"Adventure,Animation,Comedy",lady and the tramp,both
2944,Lady and the Tramp,tt8096832,movie,Lady and the Tramp,Lady and the Tramp,0,2019,\N,111,"Adventure,Comedy,Family",lady and the tramp,both
