,orig_index,DFL_title,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,lower_title,averageRating,numVotes,_merge
0,0,101 Dalmatians,tt0115433,movie,101 Dalmatians,101 Dalmatians,1996,103,"Adventure,Comedy,Crime",101 dalmatians,5.7,109712.0,both
1,5,102 Dalmatians,tt0211181,movie,102 Dalmatians,102 Dalmatians,2000,100,"Adventure,Comedy,Family",102 dalmatians,4.8,37056.0,both
2,10,"20,000 Leagues Under the Sea",tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1954,127,"Adventure,Drama,Family",20000 leagues under the sea,7.2,33109.0,both
3,24,A Bug's Life,tt0120623,movie,A Bug's Life,A Bug's Life,1998,95,"Adventure,Animation,Comedy",a bugs life,7.2,284538.0,both
4,74,A Christmas Carol,tt1067106,movie,A Christmas Carol,A Christmas Carol,2009,96,"Adventure,Animation,Comedy",a christmas carol,6.8,112582.0,both
5,126,A Far Off Place,tt0106868,movie,A Far Off Place,A Far Off Place,1993,100,"Adventure,Drama,Family",a far off place,6.5,3556.0,both
6,127,A Goofy Movie,tt0113198,movie,A Goofy Movie,A Goofy Movie,1995,78,"Adventure,Animation,Comedy",a goofy movie,6.9,52058.0,both
7,135,A Kid In King Arthur's Court,tt0113538,movie,A Kid in King Arthur's Court,A Kid in King Arthur's Court,1995,89,"Adventure,Comedy,Family",a kid in king arthurs court,4.7,6159.0,both
8,143,A Tiger Walks,tt0058657,movie,A Tiger Walks,A Tiger Walks,1964,91,"Drama,Family",a tiger walks,6.3,349.0,both
9,147,A Wrinkle in Time,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,2018,109,"Adventure,Family,Fantasy",a wrinkle in time,4.2,44220.0,both
10,158,Adventures in Babysitting,tt0092513,movie,Adventures in Babysitting,Adventures in Babysitting,1987,102,"Adventure,Comedy,Crime",adventures in babysitting,6.9,42893.0,both
11,187,African Cats,tt1223236,movie,African Cats,African Cats,2011,89,"Adventure,Documentary",african cats,7.5,6446.0,both
12,190,Aladdin,tt0103639,movie,Aladdin,Aladdin,1992,90,"Adventure,Animation,Comedy",aladdin,8.1,397857.0,both
13,244,Aladdin,tt6139732,movie,Aladdin,Aladdin,2019,128,"Adventure,Comedy,Family",aladdin,6.9,254894.0,both
14,258,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,"Comedy,Drama,Family",alexander and the terrible horrible no good very bad day,6.2,43592.0,both
15,268,Alice in Wonderland,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,1951,75,"Adventure,Animation,Comedy",alice in wonderland,7.4,137976.0,both
16,291,Alice in Wonderland,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy",alice in wonderland,6.4,404443.0,both
17,344,Alice Through the Looking Glass,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,2016,113,"Adventure,Family,Fantasy",alice through the looking glass,6.2,103982.0,both
18,356,Aliens of the Deep,tt0417415,movie,Aliens of the Deep,Aliens of the Deep,2005,100,"Documentary,Family",aliens of the deep,6.4,3003.0,both
19,358,Almost Angels,tt0055740,movie,Almost Angels,Almost Angels,1962,93,"Comedy,Family,Music",almost angels,6.6,545.0,both
20,360,America's Heart and Soul,tt0381006,movie,America's Heart & Soul,America's Heart & Soul,2004,84,Documentary,americas heart  soul,5.0,679.0,both
21,361,Amy,tt0082017,movie,Amy,Amy,1981,100,"Drama,Family",amy,6.6,464.0,both
22,429,Angels in the Outfield,tt0043286,movie,Angels in the Outfield,Angels in the Outfield,1951,99,"Comedy,Family,Fantasy",angels in the outfield,7.1,2401.0,both
23,430,Angels in the Outfield,tt0109127,movie,Angels in the Outfield,Angels in the Outfield,1994,102,"Comedy,Family,Fantasy",angels in the outfield,6.2,31557.0,both
24,433,Ant-Man,tt0478970,movie,Ant-Man,Ant-Man,2015,117,"Action,Adventure,Comedy",antman,7.3,634996.0,both
25,456,Ant-Man and the Wasp,tt5095030,movie,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,118,"Action,Adventure,Comedy",antman and the wasp,7.0,372401.0,both
26,473,Around the World in 80 Days,tt0327437,movie,Around the World in 80 Days,Around the World in 80 Days,2004,120,"Action,Adventure,Comedy",around the world in 80 days,5.8,88987.0,both
27,491,Artemis Fowl,tt3089630,movie,Artemis Fowl,Artemis Fowl,2020,95,"Adventure,Family,Fantasy",artemis fowl,4.2,27155.0,both
28,495,Atlantis: The Lost Empire,tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,2001,95,"Action,Adventure,Animation",atlantis the lost empire,6.9,115023.0,both
29,527,Avengers: Endgame,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,2019,181,"Action,Adventure,Drama",avengers endgame,8.4,1028204.0,both
30,538,Avengers: Infinity War,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",avengers infinity war,8.5,993970.0,both
31,561,Babes in Toyland,tt0054649,movie,Babes in Toyland,Babes in Toyland,1961,106,"Comedy,Family,Fantasy",babes in toyland,6.2,4138.0,both
32,563,Babes in Toyland,tt0168473,movie,Babes in Toyland,Babes in Toyland,1997,74,"Animation,Comedy,Family",babes in toyland,4.9,563.0,both
33,579,Bambi,tt0034492,movie,Bambi,Bambi,1942,70,"Adventure,Animation,Drama",bambi,7.3,139598.0,both
34,619,Bears,tt2458776,movie,Bears,Bears,2014,78,"Documentary,Family",bears,7.3,6748.0,both
35,644,Beauty and the Beast,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,1991,84,"Animation,Family,Fantasy",beauty and the beast,8.1,437761.0,both
36,723,Beauty and the Beast,tt2771200,movie,Beauty and the Beast,Beauty and the Beast,2017,129,"Adventure,Family,Fantasy",beauty and the beast,7.1,298558.0,both
37,776,Bedknobs and Broomsticks,tt0066817,movie,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1971,117,"Adventure,Animation,Comedy",bedknobs and broomsticks,7.1,36836.0,both
38,830,Benji The Hunted,tt0092638,movie,Benji the Hunted,Benji the Hunted,1987,88,"Adventure,Family",benji the hunted,6.2,3057.0,both
39,831,Beverly Hills Chihuahua,tt1014775,movie,Beverly Hills Chihuahua,Beverly Hills Chihuahua,2008,91,"Adventure,Comedy,Drama",beverly hills chihuahua,3.9,24069.0,both
40,843,Big Hero 6,tt2245084,movie,Big Hero 6,Big Hero 6,2014,102,"Action,Adventure,Animation",big hero 6,7.8,444094.0,both
41,854,Big Red,tt0055793,movie,Big Red,Big Red,1962,89,"Adventure,Drama,Family",big red,6.4,762.0,both
42,881,Black Panther,tt1825683,movie,Black Panther,Black Panther,2018,134,"Action,Adventure,Sci-Fi",black panther,7.3,712404.0,both
43,957,Black Widow,tt3480822,movie,Black Widow,Black Widow,2021,134,"Action,Adventure,Sci-Fi",black widow,6.7,342415.0,both
44,985,Blackbeard's Ghost,tt0062737,movie,Blackbeard's Ghost,Blackbeard's Ghost,1968,106,"Comedy,Family,Fantasy",blackbeards ghost,6.8,5926.0,both
45,987,Blank Check,tt0109287,movie,Blank Check,Blank Check,1994,93,"Comedy,Crime,Family",blank check,5.2,20390.0,both
46,994,Bolt,tt0397892,movie,Bolt,Bolt,2008,96,"Adventure,Animation,Comedy",bolt,6.9,204444.0,both
47,1010,Bon Voyage!,tt0055807,movie,Bon Voyage!,Bon Voyage!,1962,130,"Adventure,Comedy,Drama",bon voyage,5.7,674.0,both
48,1092,Brave,tt1217209,movie,Brave,Brave,2012,93,"Adventure,Animation,Comedy",brave,7.1,399051.0,both
49,1124,Bridge to Terabithia,tt0398808,movie,Bridge to Terabithia,Bridge to Terabithia,2007,96,"Drama,Family,Fantasy",bridge to terabithia,7.2,152790.0,both
50,1130,Brother Bear,tt0328880,movie,Brother Bear,Brother Bear,2003,85,"Adventure,Animation,Comedy",brother bear,6.8,106756.0,both
51,1143,Candleshoe,tt0075807,movie,Candleshoe,Candleshoe,1977,101,"Adventure,Comedy,Drama",candleshoe,6.7,4353.0,both
52,1148,Captain America: Civil War,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,2016,147,"Action,Adventure,Sci-Fi",captain america civil war,7.8,744673.0,both
53,1176,Captain Marvel,tt4154664,movie,Captain Marvel,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",captain marvel,6.8,524999.0,both
54,1188,Cars,tt0317219,movie,Cars,Cars,2006,117,"Adventure,Animation,Comedy",cars,7.2,401795.0,both
55,1233,Cars 2,tt1216475,movie,Cars 2,Cars 2,2011,106,"Adventure,Animation,Comedy",cars 2,6.2,179499.0,both
56,1249,Cars 3,tt3606752,movie,Cars 3,Cars 3,2017,102,"Adventure,Animation,Comedy",cars 3,6.7,91641.0,both
57,1256,Charley and the Angel,tt0069866,movie,Charley and the Angel,Charley and the Angel,1973,93,"Comedy,Family,Fantasy",charley and the angel,6.1,564.0,both
58,1258,Charlie The Lonesome Cougar,tt0062793,movie,"Charlie, the Lonesome Cougar","Charlie, the Lonesome Cougar",1967,75,"Adventure,Family",charlie the lonesome cougar,6.8,861.0,both
59,1259,Cheetah,tt0097053,movie,Cheetah,Cheetah,1989,83,"Adventure,Drama,Family",cheetah,5.9,1041.0,both
60,1276,Chicken Little,tt0371606,movie,Chicken Little,Chicken Little,2005,81,"Adventure,Animation,Comedy",chicken little,5.7,90803.0,both
61,1294,Chimpanzee,tt1222815,movie,Chimpanzee,Chimpanzee,2012,78,"Documentary,Family",chimpanzee,7.1,6126.0,both
62,1307,Christopher Robin,tt4575576,movie,Christopher Robin,Christopher Robin,2018,104,"Adventure,Animation,Comedy",christopher robin,7.2,75511.0,both
63,1314,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,"Adventure,Family,Fantasy",the chronicles of narnia the lion the witch and the wardrobe,6.9,388131.0,both
64,1323,Cinderella,tt0042332,movie,Cinderella,Cinderella,1950,74,"Animation,Family,Fantasy",cinderella,7.3,156032.0,both
65,1392,Cinderella,tt1661199,movie,Cinderella,Cinderella,2015,105,"Adventure,Drama,Family",cinderella,6.9,173300.0,both
66,1481,Coco,tt2380307,movie,Coco,Coco,2017,105,"Adventure,Animation,Comedy",coco,8.4,468350.0,both
67,1508,College Road Trip,tt0997047,movie,College Road Trip,College Road Trip,2008,83,"Adventure,Comedy,Drama",college road trip,4.3,15989.0,both
68,1511,Condorman,tt0082199,movie,Condorman,Condorman,1981,90,"Action,Adventure,Comedy",condorman,5.7,4879.0,both
69,1514,Confessions of a Teenage Drama Queen,tt0361467,movie,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,2004,89,"Comedy,Family,Music",confessions of a teenage drama queen,4.6,28912.0,both
70,1515,Cool Runnings,tt0106611,movie,Cool Runnings,Cool Runnings,1993,98,"Adventure,Comedy,Family",cool runnings,7.0,101868.0,both
71,1530,Cruella,tt3228774,movie,Cruella,Cruella,2021,134,"Adventure,Comedy,Crime",cruella,7.4,214824.0,both
72,1531,D2: The Mighty Ducks,tt0109520,movie,D2: The Mighty Ducks,D2: The Mighty Ducks,1994,106,"Comedy,Drama,Family",d2 the mighty ducks,6.1,39971.0,both
73,1533,D3: The Mighty Ducks,tt0116000,movie,D3: The Mighty Ducks,D3: The Mighty Ducks,1996,104,"Action,Comedy,Drama",d3 the mighty ducks,5.4,26748.0,both
74,1536,Darby O'Gill and the Little People,tt0052722,movie,Darby O'Gill and the Little People,Darby O'Gill and the Little People,1959,93,"Adventure,Family,Fantasy",darby ogill and the little people,7.2,8037.0,both
75,1538,Davy Crockett and the River Pirates,tt0049125,movie,Davy Crockett and the River Pirates,Davy Crockett and the River Pirates,1956,81,"Adventure,Comedy,Drama",davy crockett and the river pirates,6.6,2098.0,both
76,1541,Davy Crockett: King of the Wild Frontier,tt0047977,movie,Davy Crockett: King of the Wild Frontier,Davy Crockett: King of the Wild Frontier,1955,93,"Adventure,Drama,Family",davy crockett king of the wild frontier,6.9,4170.0,both
77,1544,Dinosaur,tt0130623,movie,Dinosaur,Dinosaur,2000,82,"Adventure,Animation,Drama",dinosaur,6.4,58964.0,both
78,1605,Do Dooni Chaar,tt1714832,movie,Do Dooni Chaar,Do Dooni Chaar,2010,112,"Comedy,Crime,Drama",do dooni chaar,7.5,5492.0,both
80,1609,Dr. Seuss' Horton Hears a Who,tt0451079,movie,Horton Hears a Who!,Horton Hears a Who!,2008,86,"Adventure,Animation,Comedy",horton hears a who,6.8,137465.0,both
81,1610,DuckTales: The Movie - Treasure of the Lost Lamp,tt0099472,movie,DuckTales the Movie: Treasure of the Lost Lamp,DuckTales the Movie: Treasure of the Lost Lamp,1990,74,"Adventure,Animation,Comedy",ducktales the movie treasure of the lost lamp,6.8,26485.0,both
82,1611,Dumbo,tt0033563,movie,Dumbo,Dumbo,1941,64,"Adventure,Animation,Drama",dumbo,7.3,128807.0,both
83,1618,Dumbo,tt3861390,movie,Dumbo,Dumbo,2019,112,"Adventure,Family,Fantasy",dumbo,6.3,73345.0,both
84,1631,Earth,tt0393597,movie,Earth,Earth,2007,90,Documentary,earth,8.0,14491.0,both
85,1677,Eight Below,tt0397313,movie,Eight Below,Eight Below,2006,120,"Adventure,Drama,Family",eight below,7.3,64119.0,both
86,1684,Emil and the Detectives,tt0058056,movie,Emil and the Detectives,Emil and the Detectives,1964,99,"Comedy,Crime,Drama",emil and the detectives,6.2,699.0,both
87,1693,Encanto,tt2953050,movie,Encanto,Encanto,2021,102,"Animation,Comedy,Family",encanto,7.3,168290.0,both
88,1700,Enchanted,tt0461770,movie,Enchanted,Enchanted,2007,107,"Adventure,Animation,Comedy",enchanted,7.1,193702.0,both
89,1714,Endurance,tt0120659,movie,Endurance,Endurance,1998,83,"Biography,Drama,Sport",endurance,6.3,419.0,both
90,1759,Epic,tt0848537,movie,Epic,Epic,2013,102,"Action,Adventure,Animation",epic,6.6,104099.0,both
91,1779,Escape To Witch Mountain,tt0072951,movie,Escape to Witch Mountain,Escape to Witch Mountain,1975,97,"Adventure,Family,Fantasy",escape to witch mountain,6.3,10197.0,both
92,1785,Fantasia,tt0032455,movie,Fantasia,Fantasia,1940,125,"Animation,Family,Fantasy",fantasia,7.7,94101.0,both
93,1821,Fantasia 2000,tt0120910,movie,Fantasia 2000,Fantasia 2000,1999,75,"Animation,Family,Fantasy",fantasia 2000,7.1,37801.0,both
94,1830,Ferdinand,tt3411444,movie,Ferdinand,Ferdinand,2017,108,"Adventure,Animation,Comedy",ferdinand,6.7,55118.0,both
95,1841,Finding Dory,tt2277860,movie,Finding Dory,Finding Dory,2016,97,"Adventure,Animation,Comedy",finding dory,7.3,264732.0,both
96,1856,Finding Nemo,tt0266543,movie,Finding Nemo,Finding Nemo,2003,100,"Adventure,Animation,Comedy",finding nemo,8.2,1009977.0,both
97,1869,First Kid,tt0116311,movie,First Kid,First Kid,1996,101,"Comedy,Family",first kid,5.2,10874.0,both
98,1870,Flight of the Navigator,tt0091059,movie,Flight of the Navigator,Flight of the Navigator,1986,90,"Adventure,Comedy,Family",flight of the navigator,6.9,47388.0,both
99,1875,Flubber,tt0119137,movie,Flubber,Flubber,1997,93,"Comedy,Family,Sci-Fi",flubber,5.3,88447.0,both
100,1877,"Follow Me, Boys!",tt0060420,movie,"Follow Me, Boys!","Follow Me, Boys!",1966,131,"Drama,Family",follow me boys,7.2,2365.0,both
101,1878,Frank and Ollie,tt0113104,movie,Frank and Ollie,Frank and Ollie,1995,89,Documentary,frank and ollie,7.7,903.0,both
102,1880,Frankenweenie,tt1142977,movie,Frankenweenie,Frankenweenie,2012,87,"Animation,Comedy,Drama",frankenweenie,6.9,105006.0,both
103,1891,Freaky Friday,tt0076054,movie,Freaky Friday,Freaky Friday,1976,95,"Comedy,Family,Fantasy",freaky friday,6.3,12777.0,both
104,1893,Freaky Friday,tt0322330,movie,Freaky Friday,Freaky Friday,2003,97,"Comedy,Family,Fantasy",freaky friday,6.3,134839.0,both
105,1991,Fun and Fancy Free,tt0039404,movie,Fun and Fancy Free,Fun & Fancy Free,1947,73,"Adventure,Animation,Comedy",fun and fancy free,6.5,8138.0,both
106,1996,George of the Jungle,tt0119190,movie,George of the Jungle,George of the Jungle,1997,92,"Action,Adventure,Comedy",george of the jungle,5.5,76283.0,both
107,2023,G-Force,tt0436339,movie,G-Force,G-Force,2009,88,"Action,Adventure,Animation",gforce,5.1,45793.0,both
108,2031,Ghosts of the Abyss,tt0297144,movie,Ghosts of the Abyss,Ghosts of the Abyss,2003,61,"Documentary,Family",ghosts of the abyss,6.8,5384.0,both
109,2032,Glory Road,tt0385726,movie,Glory Road,Glory Road,2006,118,"Biography,Drama,Sport",glory road,7.2,45510.0,both
110,2036,Greyfriars Bobby: The True Story of a Dog,tt0054944,movie,Greyfriars Bobby: The True Story of a Dog,Greyfriars Bobby: The True Story of a Dog,1961,91,"Drama,Family",greyfriars bobby the true story of a dog,7.3,1558.0,both
111,2040,Guardians of the Galaxy Vol. 2,tt3896198,movie,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017,136,"Action,Adventure,Comedy",guardians of the galaxy vol 2,7.6,641940.0,both
112,2057,Gus,tt0074599,movie,Gus,Gus,1976,96,"Comedy,Family,Sport",gus,5.7,1896.0,both
113,2080,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,tt1127884,movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,74,"Documentary,Music",hannah montana and miley cyrus best of both worlds concert,2.6,11993.0,both
114,2082,Hannah Montana: The Movie,tt1114677,movie,Hannah Montana: The Movie,Hannah Montana: The Movie,2009,102,"Comedy,Drama,Family",hannah montana the movie,4.5,41959.0,both
115,2090,Heavyweights,tt0110006,movie,Heavyweights,Heavyweights,1995,100,"Comedy,Drama,Family",heavyweights,6.6,27483.0,both
116,2132,Herbie Goes Bananas,tt0080861,movie,Herbie Goes Bananas,Herbie Goes Bananas,1980,100,"Adventure,Comedy,Family",herbie goes bananas,4.9,5653.0,both
117,2134,Herbie Goes To Monte Carlo,tt0076137,movie,Herbie Goes to Monte Carlo,Herbie Goes to Monte Carlo,1977,105,"Action,Adventure,Comedy",herbie goes to monte carlo,5.6,7371.0,both
118,2135,Herbie Rides Again,tt0071607,movie,Herbie Rides Again,Herbie Rides Again,1974,88,"Comedy,Family,Fantasy",herbie rides again,5.7,7979.0,both
119,2136,Herbie: Fully Loaded,tt0400497,movie,Herbie Fully Loaded,Herbie Fully Loaded,2005,101,"Adventure,Comedy,Family",herbie fully loaded,4.9,47316.0,both
120,2141,Hercules,tt0119282,movie,Hercules,Hercules,1997,93,"Adventure,Animation,Comedy",hercules,7.3,222924.0,both
121,2202,High School Musical 3: Senior Year,tt0962726,movie,High School Musical 3: Senior Year,High School Musical 3: Senior Year,2008,112,"Comedy,Drama,Family",high school musical 3 senior year,4.9,61638.0,both
122,2204,High School Musical: China,tt1556143,movie,Disney High School Musical: China,Ge wu qing chun,2010,94,"Musical,Romance",disney high school musical china,5.3,105.0,both
123,2206,Hocus Pocus,tt0107120,movie,Hocus Pocus,Hocus Pocus,1993,96,"Comedy,Family,Fantasy",hocus pocus,6.9,119673.0,both
124,2244,Holes,tt0311289,movie,Holes,Holes,2003,117,"Adventure,Comedy,Drama",holes,7.0,85609.0,both
126,2267,Home on the Range,tt0299172,movie,Home on the Range,Home on the Range,2004,76,"Adventure,Animation,Comedy",home on the range,5.4,22594.0,both
127,2300,Homeward Bound II: Lost in San Francisco,tt0116552,movie,Homeward Bound II: Lost in San Francisco,Homeward Bound II: Lost in San Francisco,1996,88,"Adventure,Comedy,Family",homeward bound ii lost in san francisco,5.9,14932.0,both
128,2301,Homeward Bound: The Incredible Journey,tt0107131,movie,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey,1993,84,"Adventure,Comedy,Drama",homeward bound the incredible journey,6.9,45719.0,both
129,2302,"Honey, I Blew Up The Kid",tt0104437,movie,"Honey, I Blew Up the Kid","Honey, I Blew Up the Kid",1992,89,"Adventure,Comedy,Family",honey i blew up the kid,4.8,43748.0,both
130,2305,"Honey, I Shrunk The Kids",tt0097523,movie,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids",1989,93,"Adventure,Comedy,Family",honey i shrunk the kids,6.4,151575.0,both
131,2314,Hot Lead And Cold Feet,tt0077698,movie,Hot Lead and Cold Feet,Hot Lead and Cold Feet,1978,90,"Comedy,Western",hot lead and cold feet,6.0,1327.0,both
132,2317,Ice Age,tt0268380,movie,Ice Age,Ice Age,2002,81,"Adventure,Animation,Comedy",ice age,7.5,469920.0,both
133,2352,Ice Princess,tt0396652,movie,Ice Princess,Ice Princess,2005,98,"Comedy,Drama,Family",ice princess,6.0,26878.0,both
134,2358,I'll Be Home for Christmas,tt0155753,movie,I'll Be Home for Christmas,I'll Be Home for Christmas,1998,86,"Comedy,Family",ill be home for christmas,5.5,10550.0,both
135,2381,In Search Of The Castaways,tt0056095,movie,In Search of the Castaways,In Search of the Castaways,1962,98,"Adventure,Family,Fantasy",in search of the castaways,6.5,3117.0,both
136,2390,Incredibles 2,tt3606756,movie,Incredibles 2,Incredibles 2,2018,118,"Action,Adventure,Animation",incredibles 2,7.6,281697.0,both
137,2479,Inside Out,tt2096673,movie,Inside Out,Inside Out,2015,95,"Adventure,Animation,Comedy",inside out,8.2,680446.0,both
138,2532,Inspector Gadget,tt0141369,movie,Inspector Gadget,Inspector Gadget,1999,78,"Action,Adventure,Comedy",inspector gadget,4.1,47777.0,both
140,2593,Into the Woods,tt2180411,movie,Into the Woods,Into the Woods,2014,125,"Adventure,Comedy,Drama",into the woods,5.9,139036.0,both
141,2654,Invincible,tt0445990,movie,Invincible,Invincible,2006,105,"Biography,Drama,Sport",invincible,7.0,69941.0,both
142,2688,Iron Will,tt0110157,movie,Iron Will,Iron Will,1994,108,"Adventure,Family",iron will,6.6,8469.0,both
143,2697,James and the Giant Peach,tt0116683,movie,James and the Giant Peach,James and the Giant Peach,1996,79,"Adventure,Animation,Family",james and the giant peach,6.7,65453.0,both
144,2701,John Carter,tt0401729,movie,John Carter,John Carter,2012,132,"Action,Adventure,Sci-Fi",john carter,6.6,267668.0,both
145,2715,Johnny Tremain,tt0050567,movie,Johnny Tremain,Johnny Tremain,1957,80,"Adventure,Family,History",johnny tremain,6.5,1771.0,both
146,2716,Jonas Brothers: The Concert Experience,tt1229827,movie,Jonas Brothers: The 3D Concert Experience,Jonas Brothers: The 3D Concert Experience,2009,76,"Documentary,Music",jonas brothers the 3d concert experience,1.7,17458.0,both
147,2724,Jungle 2 Jungle,tt0119432,movie,Jungle 2 Jungle,Jungle 2 Jungle,1997,105,"Comedy,Family",jungle 2 jungle,5.1,24135.0,both
148,2726,Jungle Cat,tt0053977,movie,Jungle Cat,Jungle Cat,1960,69,"Documentary,Family",jungle cat,7.3,327.0,both
149,2728,Jungle Cruise,tt0870154,movie,Jungle Cruise,Jungle Cruise,2021,127,"Action,Adventure,Comedy",jungle cruise,6.6,172257.0,both
150,2745,Kidnapped,tt0053994,movie,Kidnapped,Kidnapped,1959,97,"Action,Adventure,Drama",kidnapped,6.6,1458.0,both
151,2932,King Of The Grizzlies,tt0065943,movie,King of the Grizzlies,King of the Grizzlies,1970,93,"Family,Western",king of the grizzlies,5.7,177.0,both
152,2933,Lady and the Tramp,tt0048280,movie,Lady and the Tramp,Lady and the Tramp,1955,76,"Adventure,Animation,Comedy",lady and the tramp,7.3,132091.0,both
153,2944,Lady and the Tramp,tt8096832,movie,Lady and the Tramp,Lady and the Tramp,2019,111,"Adventure,Comedy,Family",lady and the tramp,6.2,20716.0,both
