,orig_index,DFL_title,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,lower_title,averageRating,numVotes,_merge
155,2958,Life-Size,tt0070131,movie,Lifesize,Grandeur nature,1974,101,"Comedy,Drama,Fantasy",lifesize,6.4,377.0,both
157,2966,Like Stars On Earth,tt0986264,movie,Like Stars on Earth,Taare Zameen Par,2007,165,"Drama,Family",like stars on earth,8.4,186972.0,both
158,2968,Lilo & Stitch,tt0275847,movie,Lilo & Stitch,Lilo & Stitch,2002,85,"Adventure,Animation,Comedy",lilo  stitch,7.3,183336.0,both
160,2983,"Lt. Robin Crusoe, U.S.N.",tt0060640,movie,"Lt. Robin Crusoe, U.S.N.","Lt. Robin Crusoe, U.S.N.",1966,110,"Adventure,Comedy,Family",lt robin crusoe usn,5.8,1390.0,both
161,2992,Luca,tt12801262,movie,Luca,Luca,2021,95,"Adventure,Animation,Comedy",luca,7.5,143221.0,both
162,3025,Make Mine Music,tt0038718,movie,Make Mine Music,Make Mine Music,1946,75,"Adventure,Animation,Comedy",make mine music,6.2,4260.0,both
163,3035,Maleficent,tt1587310,movie,Maleficent,Maleficent,2014,97,"Adventure,Family,Fantasy",maleficent,7.0,366474.0,both
164,3054,Maleficent: Mistress of Evil,tt4777008,movie,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,2019,119,"Adventure,Family,Fantasy",maleficent mistress of evil,6.6,100063.0,both
165,3056,Man of the House,tt0113755,movie,Man of the House,Man of the House,1995,96,"Comedy,Family",man of the house,5.2,9571.0,both
166,3092,Mars Needs Moms,tt1305591,movie,Mars Needs Moms,Mars Needs Moms,2010,88,"Action,Adventure,Animation",mars needs moms,5.4,22237.0,both
167,3099,Marvel Studios' Doctor Strange,tt1211837,movie,Doctor Strange,Doctor Strange,2016,115,"Action,Adventure,Fantasy",doctor strange,7.5,684960.0,both
168,3100,Marvel's Avengers: Age of Ultron,tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",avengers age of ultron,7.3,824037.0,both
169,3101,Marvel's Captain America: Winter Soldier,tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,136,"Action,Adventure,Sci-Fi",captain america the winter soldier,7.8,808477.0,both
170,3105,Marvel's Iron Man 3,tt1300854,movie,Iron Man 3,Iron Man Three,2013,130,"Action,Adventure,Sci-Fi",iron man 3,7.2,818517.0,both
171,3106,Mary Poppins,tt0058331,movie,Mary Poppins,Mary Poppins,1964,139,"Comedy,Family,Fantasy",mary poppins,7.8,168154.0,both
172,3129,Mary Poppins Returns,tt5028340,movie,Mary Poppins Returns,Mary Poppins Returns,2018,130,"Adventure,Comedy,Family",mary poppins returns,6.7,85960.0,both
173,3139,Max Keeble's Big Move,tt0273799,movie,Max Keeble's Big Move,Max Keeble's Big Move,2001,86,"Comedy,Crime,Family",max keebles big move,5.4,8052.0,both
174,3140,"McFarland, USA",tt2097298,movie,"McFarland, USA","McFarland, USA",2015,129,"Biography,Drama,Sport",mcfarland usa,7.4,38125.0,both
175,3143,Meet The Deedles,tt0120645,movie,Meet the Deedles,Meet the Deedles,1998,93,"Comedy,Family",meet the deedles,4.0,2928.0,both
176,3144,Meet the Robinsons,tt0396555,movie,Meet the Robinsons,Meet the Robinsons,2007,95,"Adventure,Animation,Comedy",meet the robinsons,6.8,96443.0,both
177,3152,Melody Time,tt0040580,movie,Melody Time,Melody Time,1948,75,"Animation,Comedy,Family",melody time,6.2,5920.0,both
178,3168,Midnight Madness,tt0081159,movie,Midnight Madness,Midnight Madness,1980,112,Comedy,midnight madness,6.3,3503.0,both
179,3192,Mighty Joe Young,tt0041650,movie,Mighty Joe Young,Mighty Joe Young,1949,94,"Adventure,Drama,Fantasy",mighty joe young,7.0,5188.0,both
180,3193,Mighty Joe Young,tt0120751,movie,Mighty Joe Young,Mighty Joe Young,1998,114,"Action,Adventure,Family",mighty joe young,5.7,28909.0,both
181,3197,Million Dollar Arm,tt1647668,movie,Million Dollar Arm,Million Dollar Arm,2014,124,"Biography,Drama,Sport",million dollar arm,7.0,45582.0,both
182,3264,Miracle of the White Stallions,tt0057312,movie,Miracle of the White Stallions,Miracle of the White Stallions,1963,118,"Adventure,Drama,Family",miracle of the white stallions,6.5,696.0,both
183,3271,Moana,tt3521164,movie,Moana,Moana,2016,107,"Adventure,Animation,Comedy",moana,7.6,315940.0,both
184,3282,"Monkeys, Go Home!",tt0061989,movie,"Monkeys, Go Home!","Monkeys, Go Home!",1967,101,"Comedy,Family",monkeys go home,5.8,521.0,both
185,3283,Monsters University,tt1453405,movie,Monsters University,Monsters University,2013,104,"Adventure,Animation,Comedy",monsters university,7.3,347584.0,both
186,3295,"Monsters, Inc.",tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",2001,92,"Adventure,Animation,Comedy",monsters inc,8.1,876245.0,both
187,3301,Moon Pilot,tt0056249,movie,Moon Pilot,Moon Pilot,1962,98,"Comedy,Family,Sci-Fi",moon pilot,5.4,468.0,both
188,3302,Morning Light,tt1198405,movie,Morning Light,Morning Light,2008,100,"Documentary,Sport",morning light,5.8,389.0,both
189,3310,Mr. Magoo,tt0119718,movie,Mr. Magoo,Mr. Magoo,1997,87,"Adventure,Comedy,Family",mr magoo,4.0,15174.0,both
190,3313,Mr. Toad's Wild Ride,tt0118172,movie,Mr. Toad's Wild Ride,The Wind in the Willows,1996,88,"Adventure,Comedy,Family",mr toads wild ride,6.3,3243.0,both
191,3315,Mulan,tt0120762,movie,Mulan,Mulan,1998,88,"Adventure,Animation,Comedy",mulan,7.6,277432.0,both
192,3328,Mulan,tt4566758,movie,Mulan,Mulan,2020,115,"Action,Adventure,Drama",mulan,5.7,142661.0,both
193,3340,Muppet Treasure Island,tt0117110,movie,Muppet Treasure Island,Muppet Treasure Island,1996,99,"Action,Adventure,Comedy",muppet treasure island,6.9,23776.0,both
194,3347,Muppets Most Wanted,tt2281587,movie,Muppets Most Wanted,Muppets Most Wanted,2014,107,"Adventure,Comedy,Crime",muppets most wanted,6.4,34026.0,both
195,3359,My Favorite Martian,tt0120764,movie,My Favorite Martian,My Favorite Martian,1999,94,"Comedy,Family,Sci-Fi",my favorite martian,5.1,13497.0,both
196,3362,My Neighbors The Yamadas,tt0206013,movie,My Neighbors the Yamadas,Hôhokekyo tonari no Yamada-kun,1999,104,"Animation,Comedy,Family",my neighbors the yamadas,7.2,13756.0,both
197,3364,Napoleon and Samantha,tt0068990,movie,Napoleon and Samantha,Napoleon and Samantha,1972,92,"Adventure,Drama",napoleon and samantha,6.0,982.0,both
198,3366,National Treasure,tt0368891,movie,National Treasure,National Treasure,2004,131,"Action,Adventure,Mystery",national treasure,6.9,323124.0,both
200,3382,National Treasure: Book of Secrets,tt0465234,movie,National Treasure: Book of Secrets,National Treasure: Book of Secrets,2007,124,"Action,Adventure,Mystery",national treasure book of secrets,6.5,231520.0,both
201,3387,Never a Dull Moment,tt0063341,movie,Never a Dull Moment,Never a Dull Moment,1968,99,"Comedy,Crime,Family",never a dull moment,6.1,716.0,both
202,3394,Never Cry Wolf,tt0086005,movie,Never Cry Wolf,Never Cry Wolf,1983,105,"Adventure,Drama",never cry wolf,7.5,8120.0,both
203,3396,Newsies,tt0104990,movie,Newsies,Newsies,1992,121,"Drama,Family,History",newsies,6.9,20510.0,both
204,3402,Night Crossing,tt0082810,movie,Night Crossing,Night Crossing,1982,107,"Drama,Family,History",night crossing,6.5,1421.0,both
205,3404,"Nikki, Wild Dog of the North",tt0055232,movie,"Nikki, Wild Dog of the North","Nikki, Wild Dog of the North",1961,74,"Adventure,Family",nikki wild dog of the north,6.7,454.0,both
206,3406,No Deposit No Return,tt0074968,movie,"No Deposit, No Return",No Deposit No Return,1976,112,"Comedy,Family",no deposit no return,6.4,1521.0,both
207,3415,"Now You See Him, Now You Don't",tt0069031,movie,"Now You See Him, Now You Don't","Now You See Him, Now You Don't",1972,88,"Comedy,Family,Sci-Fi",now you see him now you dont,6.2,2042.0,both
208,3425,Oceans,tt0765128,movie,Oceans,Océans,2009,104,Documentary,oceans,7.7,9609.0,both
210,3467,Old Dogs,tt0976238,movie,Old Dogs,Old Dogs,2009,88,"Comedy,Family",old dogs,5.3,37693.0,both
211,3475,Old Yeller,tt0050798,movie,Old Yeller,Old Yeller,1957,83,"Adventure,Drama,Family",old yeller,7.3,13292.0,both
212,3481,Oliver & Company,tt0095776,movie,Oliver & Company,Oliver & Company,1988,74,"Adventure,Animation,Comedy",oliver  company,6.7,47520.0,both
213,3523,Once Upon a Warrior,tt1621994,movie,Once Upon a Warrior,Anaganaga O Dheerudu,2011,133,"Action,Adventure,Family",once upon a warrior,5.3,550.0,both
214,3524,One Little Indian,tt0070481,movie,One Little Indian,One Little Indian,1973,90,"Comedy,Family,Western",one little indian,6.2,630.0,both
215,3530,One Magic Christmas,tt0089731,movie,One Magic Christmas,One Magic Christmas,1985,89,"Family,Fantasy",one magic christmas,6.5,3788.0,both
216,3531,One of Our Dinosaurs Is Missing,tt0075016,movie,One of Our Dinosaurs Is Missing,One of Our Dinosaurs Is Missing,1975,94,"Adventure,Comedy,Family",one of our dinosaurs is missing,5.9,1780.0,both
217,3556,Onward,tt7146812,movie,Onward,Onward,2020,102,"Adventure,Animation,Comedy",onward,7.4,138242.0,both
218,3559,Operation Dumbo Drop,tt0114048,movie,Operation Dumbo Drop,Operation Dumbo Drop,1995,107,"Action,Adventure,Comedy",operation dumbo drop,5.1,8968.0,both
219,3560,Oz the Great and Powerful,tt1623205,movie,Oz the Great and Powerful,Oz the Great and Powerful,2013,130,"Adventure,Family,Fantasy",oz the great and powerful,6.3,205545.0,both
220,3582,Peter Pan,tt0046183,movie,Peter Pan,Peter Pan,1953,77,"Adventure,Animation,Family",peter pan,7.3,136005.0,both
221,3610,Pete's Dragon,tt0076538,movie,Pete's Dragon,Pete's Dragon,1977,128,"Adventure,Animation,Comedy",petes dragon,6.3,24308.0,both
222,3612,Pete's Dragon,tt2788732,movie,Pete's Dragon,Pete's Dragon,2016,102,"Action,Adventure,Comedy",petes dragon,6.7,57550.0,both
223,3620,Pinocchio,tt0032910,movie,Pinocchio,Pinocchio,1940,88,"Adventure,Animation,Comedy",pinocchio,7.5,140982.0,both
224,3682,Pirates of the Caribbean: At World's End,tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy",pirates of the caribbean at worlds end,7.1,628678.0,both
225,3688,Pirates of the Caribbean: Dead Man's Chest,tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006,151,"Action,Adventure,Fantasy",pirates of the caribbean dead mans chest,7.4,691605.0,both
226,3694,Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809,movie,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,"Action,Adventure,Fantasy",pirates of the caribbean dead men tell no tales,6.6,292342.0,both
227,3705,Pirates of the Caribbean: On Stranger Tides,tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,137,"Action,Adventure,Fantasy",pirates of the caribbean on stranger tides,6.6,509648.0,both
228,3711,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action,Adventure,Fantasy",pirates of the caribbean the curse of the black pearl,8.1,1068548.0,both
229,3718,Planes,tt1691917,movie,Planes,Planes,2013,91,"Adventure,Animation,Comedy",planes,5.7,44561.0,both
230,3738,Planes: Fire & Rescue,tt2980706,movie,Planes: Fire & Rescue,Planes: Fire & Rescue,2014,83,"Adventure,Animation,Comedy",planes fire  rescue,6.0,17803.0,both
231,3742,Pocahontas,tt0114148,movie,Pocahontas,Pocahontas,1995,81,"Adventure,Animation,Drama",pocahontas,6.7,181992.0,both
233,3787,Pollyanna,tt0054195,movie,Pollyanna,Pollyanna,1920,58,"Comedy,Drama,Family",pollyanna,7.4,10132.0,both
234,3788,Pollyanna,tt0054195,movie,Pollyanna,Pollyanna,1960,134,"Comedy,Drama,Family",pollyanna,7.4,10132.0,both
235,3794,Prince of Persia: The Sands of Time,tt0473075,movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116,"Action,Adventure,Fantasy",prince of persia the sands of time,6.6,284875.0,both
236,3818,Prom,tt1604171,movie,Prom,Prom,2011,104,"Comedy,Drama,Family",prom,5.4,15230.0,both
237,3853,Queen of Katwe,tt4341582,movie,Queen of Katwe,Queen of Katwe,2016,124,"Biography,Drama,Sport",queen of katwe,7.4,17079.0,both
238,3854,Race To Witch Mountain,tt1075417,movie,Race to Witch Mountain,Race to Witch Mountain,2009,98,"Action,Adventure,Family",race to witch mountain,5.7,59022.0,both
239,3857,Ralph Breaks the Internet: Wreck-It Ralph 2,tt5848272,movie,Ralph Breaks the Internet,Ralph Breaks the Internet,2018,112,"Adventure,Animation,Comedy",ralph breaks the internet,7.0,152507.0,both
240,3858,Rascal,tt0064875,movie,Rascal,Rascal,1969,85,"Drama,Family",rascal,6.4,461.0,both
241,3872,Ratatouille,tt0382932,movie,Ratatouille,Ratatouille,2007,111,"Adventure,Animation,Comedy",ratatouille,8.1,692964.0,both
242,3889,Raya and the Last Dragon,tt5109280,movie,Raya and the Last Dragon,Raya and the Last Dragon,2021,107,"Action,Adventure,Animation",raya and the last dragon,7.3,138407.0,both
243,3894,Recess: School's Out,tt0265632,movie,Recess: School's Out,Recess: School's Out,2001,82,"Adventure,Animation,Comedy",recess schools out,6.5,10448.0,both
244,3896,Remember the Titans,tt0210945,movie,Remember the Titans,Remember the Titans,2000,113,"Biography,Drama,Sport",remember the titans,7.8,210201.0,both
245,3899,Return from Witch Mountain,tt0078158,movie,Return from Witch Mountain,Return from Witch Mountain,1978,95,"Adventure,Family,Fantasy",return from witch mountain,5.7,5072.0,both
246,3903,Return to Never Land,tt0280030,movie,Peter Pan 2: Return to Never Land,Return to Never Land,2002,72,"Adventure,Animation,Family",peter pan 2 return to never land,5.8,20022.0,both
247,3905,Return to Oz,tt0089908,movie,Return to Oz,Return to Oz,1985,113,"Adventure,Family,Fantasy",return to oz,6.8,26789.0,both
248,3916,Return to Snowy River,tt0095993,movie,Return to Snowy River,The Man from Snowy River II,1988,110,"Adventure,Drama,Western",return to snowy river,6.6,2516.0,both
249,3917,Ride a Wild Pony,tt0075141,movie,Ride a Wild Pony,Ride a Wild Pony,1975,91,"Adventure,Family",ride a wild pony,6.1,201.0,both
250,3930,Rio,tt1436562,movie,Rio,Rio,2011,96,"Adventure,Animation,Comedy",rio,6.9,221457.0,both
251,3962,Rio 2,tt2357291,movie,Rio 2,Rio 2,2014,101,"Adventure,Animation,Comedy",rio 2,6.3,87813.0,both
252,3969,Rob Roy: The Highland Rogue,tt0046246,movie,Rob Roy: The Highland Rogue,Rob Roy: The Highland Rogue,1953,81,"Adventure,Biography,Drama",rob roy the highland rogue,6.4,589.0,both
253,3973,Robin Hood,tt0070608,movie,Robin Hood,Robin Hood,1973,83,"Adventure,Animation,Comedy",robin hood,7.5,124014.0,both
254,4042,Robots,tt0358082,movie,Robots,Robots,2005,91,"Adventure,Animation,Comedy",robots,6.4,142928.0,both
255,4109,RocketMan,tt0120029,movie,RocketMan,RocketMan,1997,95,"Comedy,Family,Sci-Fi",rocketman,5.9,9605.0,both
256,4131,Rogue One: A Star Wars Story,tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,2016,133,"Action,Adventure,Sci-Fi",rogue one a star wars story,7.8,600208.0,both
257,4153,Santa Paws 2: The Santa Pups,tt2414212,movie,Santa Paws 2: The Santa Pups,Santa Paws 2: The Santa Pups,2012,88,"Adventure,Family",santa paws 2 the santa pups,4.9,1367.0,both
258,4154,Savage Sam,tt0057473,movie,Savage Sam,Savage Sam,1963,103,"Adventure,Drama,Family",savage sam,6.1,1057.0,both
259,4156,Saving Mr. Banks,tt2140373,movie,Saving Mr. Banks,Saving Mr. Banks,2013,125,"Biography,Comedy,Drama",saving mr banks,7.5,159490.0,both
260,4162,Scandalous John,tt0067712,movie,Scandalous John,Scandalous John,1971,113,"Comedy,Drama,Family",scandalous john,5.9,138.0,both
261,4164,Secretariat,tt1028576,movie,Secretariat,Secretariat,2010,123,"Biography,Drama,Family",secretariat,7.2,28116.0,both
262,4172,Secrets of Life,tt0049733,movie,Secrets of Life,Secrets of Life,1956,70,"Documentary,Family",secrets of life,7.4,271.0,both
263,4173,Secrets of Life,tt2064925,movie,Secrets of Life,Secrets of Life,2009,100,Documentary,secrets of life,2.8,14.0,both
264,4180,Shang-Chi and The Legend of The Ten Rings,tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,2021,132,"Action,Adventure,Fantasy",shangchi and the legend of the ten rings,7.5,336352.0,both
265,4183,Shipwrecked,tt0099816,movie,Shipwrecked,Shipwrecked,1926,74,"Adventure,Drama,Romance",shipwrecked,6.6,2802.0,both
266,4184,Shipwrecked,tt0099816,movie,Shipwrecked,Haakon Haakonsen,1990,92,"Adventure,Family",shipwrecked,6.6,2802.0,both
267,4238,Sky High,tt0405325,movie,Sky High,Sky High,2005,100,"Action,Comedy,Family",sky high,6.3,85310.0,both
268,4271,Sleeping Beauty (1959),tt0053285,movie,Sleeping Beauty,Sleeping Beauty,1959,75,"Adventure,Animation,Family",sleeping beauty,7.3,145266.0,both
269,4280,Smith!,tt0065003,movie,Smith!,Smith!,1969,112,"Drama,Family,Western",smith,5.8,238.0,both
270,4299,Snow Dogs,tt0281373,movie,Snow Dogs,Snow Dogs,2002,99,"Adventure,Comedy,Family",snow dogs,5.2,26763.0,both
271,4301,Snow White and the Seven Dwarfs,tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",snow white and the seven dwarfs,7.6,194173.0,both
272,4317,Snowball Express,tt0069291,movie,Snowball Express,Snowball Express,1972,93,"Comedy,Family",snowball express,6.3,1781.0,both
273,4319,So Dear To My Heart,tt0041890,movie,So Dear to My Heart,So Dear to My Heart,1948,79,"Animation,Drama,Family",so dear to my heart,6.9,1461.0,both
274,4331,Solo: A Star Wars Story,tt3778644,movie,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135,"Action,Adventure,Sci-Fi",solo a star wars story,6.9,327357.0,both
275,4349,Something Wicked This Way Comes,tt0086336,movie,Something Wicked This Way Comes,Something Wicked This Way Comes,1983,95,"Fantasy,Mystery,Thriller",something wicked this way comes,6.7,9173.0,both
276,4375,Son of Flubber,tt0057518,movie,Son of Flubber,Son of Flubber,1963,100,"Comedy,Family,Sci-Fi",son of flubber,6.1,2959.0,both
277,4412,Soul,tt2948372,movie,Soul,Soul,2020,100,"Adventure,Animation,Comedy",soul,8.1,303412.0,both
278,4429,Sounder,tt0069303,movie,Sounder,Sounder,1972,105,"Drama,Family",sounder,7.6,4123.0,both
279,4436,Spies in Disguise,tt5814534,movie,Spies in Disguise,Spies in Disguise,2019,102,"Action,Adventure,Animation",spies in disguise,6.8,45713.0,both
280,4437,Squanto: A Warrior's Tale,tt0111271,movie,Squanto: A Warrior's Tale,Squanto: A Warrior's Tale,1994,102,"Adventure,Biography,Drama",squanto a warriors tale,6.0,1248.0,both
281,4573,Summer Magic,tt0057542,movie,Summer Magic,Summer Magic,1963,110,"Comedy,Family,Musical",summer magic,7.0,2417.0,both
282,4576,Superdad,tt0070716,movie,Superdad,Superdad,1973,96,"Comedy,Family",superdad,5.2,763.0,both
283,4588,Swiss Family Robinson,tt0054357,movie,Swiss Family Robinson,Swiss Family Robinson,1960,126,"Adventure,Family",swiss family robinson,7.1,15929.0,both
284,4600,Tall Tale: The Unbelievable Adventure,tt0111359,movie,Tall Tale,Tall Tale,1995,96,"Adventure,Family,Fantasy",tall tale,5.9,3787.0,both
285,4606,Tangled,tt0398286,movie,Tangled,Tangled,2010,100,"Adventure,Animation,Comedy",tangled,7.8,436721.0,both
286,4636,Tarzan,tt0120855,movie,Tarzan,Tarzan,1999,88,"Adventure,Animation,Comedy",tarzan,7.3,219094.0,both
287,4646,Tarzan,tt1705952,movie,Tarzan,Tarzan,2013,94,"Action,Adventure,Animation",tarzan,4.8,12504.0,both
288,4659,Teacher's Pet,tt0350194,movie,Teacher's Pet,Teacher's Pet,2004,73,"Adventure,Animation,Comedy",teachers pet,5.8,1778.0,both
289,4767,Ten Who Dared,tt0054372,movie,Ten Who Dared,Ten Who Dared,1960,92,"Adventure,Family,Western",ten who dared,5.5,254.0,both
290,4769,Tex,tt0084783,movie,Tex,Tex,1982,103,Drama,tex,6.5,2208.0,both
291,4779,That Darn Cat,tt0059793,movie,That Darn Cat!,That Darn Cat!,1965,116,"Comedy,Crime,Family",that darn cat,6.7,6854.0,both
292,4780,That Darn Cat,tt0120317,movie,That Darn Cat,That Darn Cat,1997,89,"Action,Comedy,Crime",that darn cat,4.6,4407.0,both
293,4791,The Adventures Of Bullwhip Griffin,tt0061333,movie,The Adventures of Bullwhip Griffin,The Adventures of Bullwhip Griffin,1967,108,"Action,Adventure,Comedy",the adventures of bullwhip griffin,6.5,1042.0,both
294,4792,The Adventures of Huck Finn,tt0106223,movie,The Adventures of Huck Finn,The Adventures of Huck Finn,1993,108,"Adventure,Comedy,Drama",the adventures of huck finn,6.2,8501.0,both
295,4794,The Adventures of Huck Finn,tt2081266,movie,The Adventures of Huck Finn,Die Abenteuer des Huck Finn,2012,99,"Adventure,Family",the adventures of huck finn,5.8,336.0,both
296,4795,The Adventures Of Ichabod And Mr. Toad,tt0041094,movie,The Adventures of Ichabod and Mr. Toad,The Adventures of Ichabod and Mr. Toad,1949,68,"Animation,Comedy,Family",the adventures of ichabod and mr toad,6.9,15232.0,both
297,4797,The African Lion,tt0047803,movie,The African Lion,The African Lion,1955,75,"Documentary,Family",the african lion,7.2,467.0,both
298,4798,The Apple Dumpling Gang,tt0072653,movie,The Apple Dumpling Gang,The Apple Dumpling Gang,1975,100,"Comedy,Family,Western",the apple dumpling gang,6.4,5738.0,both
299,4800,The Apple Dumpling Gang Rides Again,tt0078790,movie,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,1979,88,"Comedy,Family,Western",the apple dumpling gang rides again,6.0,2845.0,both
300,4801,The Aristocats,tt0065421,movie,The Aristocats,The AristoCats,1970,78,"Adventure,Animation,Comedy",the aristocats,7.1,101407.0,both
301,4805,The Barefoot Executive,tt0066811,movie,The Barefoot Executive,The Barefoot Executive,1971,96,"Comedy,Family",the barefoot executive,5.9,1899.0,both
302,4807,The Bears And I,tt0071199,movie,The Bears and I,The Bears and I,1974,89,"Drama,Family",the bears and i,6.2,446.0,both
303,4811,The BFG,tt3691740,movie,The BFG,The BFG,2016,117,"Adventure,Family,Fantasy",the bfg,6.4,84180.0,both
304,4819,The Big Green,tt0112499,movie,The Big Green,The Big Green,1995,100,"Comedy,Family,Sport",the big green,5.5,10045.0,both
305,4822,The Biscuit Eater,tt0032254,movie,The Biscuit Eater,The Biscuit Eater,1940,81,"Drama,Family",the biscuit eater,7.2,222.0,both
306,4823,The Biscuit Eater,tt0068276,movie,The Biscuit Eater,The Biscuit Eater,1972,90,"Drama,Family",the biscuit eater,5.8,433.0,both
307,4824,The Black Cauldron,tt0088814,movie,The Black Cauldron,The Black Cauldron,1985,80,"Action,Adventure,Animation",the black cauldron,6.4,35274.0,both
308,4832,The Black Hole,tt0078869,movie,The Black Hole,The Black Hole,1979,98,"Action,Sci-Fi",the black hole,5.9,25204.0,both
309,4855,The Boatniks,tt0065482,movie,The Boatniks,The Boatniks,1970,99,"Comedy,Family",the boatniks,5.5,771.0,both
